Below are the match results. 
Matching PERU to URI: "http://opencoredata.org/id/csdco/project/v1/PERU"
Matching PERUK to URI: ""
Matching PETEN to URI: "http://opencoredata.org/id/csdco/project/v1/PETEN"
Matching PIB to URI: "http://opencoredata.org/id/csdco/project/v1/PIB"
Matching PICEA to URI: "http://opencoredata.org/id/csdco/project/v1/PICEA"
Matching PISCO to URI: "http://opencoredata.org/id/csdco/project/v1/PISCO"
Matching PITT to URI: "http://opencoredata.org/id/csdco/project/v1/PITT"
Matching PKC to URI: "http://opencoredata.org/id/csdco/project/v1/PKC"
Matching PLAD to URI: "http://opencoredata.org/id/csdco/project/v1/PLAD"
Matching PLJ to URI: "http://opencoredata.org/id/csdco/project/v1/PLJ"
Matching PLJL to URI: "http://opencoredata.org/id/csdco/project/v1/PLJL"
Matching PLJV to URI: "http://opencoredata.org/id/csdco/project/v1/PLJV"
Matching PLSL to URI: "http://opencoredata.org/id/csdco/project/v1/PLSL"
Matching PNWH to URI: "http://opencoredata.org/id/csdco/project/v1/PNWH"
Matching PO to URI: "http://opencoredata.org/id/csdco/project/v1/PO"
Matching POLK to URI: "http://opencoredata.org/id/csdco/project/v1/POLK"
Matching POPOVO to URI: ""
Matching PPGPR to URI: "http://opencoredata.org/id/csdco/project/v1/PPGPR"
Matching PRES to URI: "http://opencoredata.org/id/csdco/project/v1/PRES"
Matching PRI to URI: "http://opencoredata.org/id/csdco/project/v1/PRI"
Matching PRL to URI: "http://opencoredata.org/id/csdco/project/v1/PRL"
Matching PROK to URI: "http://opencoredata.org/id/csdco/project/v1/PROK"
Matching PROM to URI: "http://opencoredata.org/id/csdco/project/v1/PROM"
Matching PRPT to URI: ""
Matching PTL to URI: "http://opencoredata.org/id/csdco/project/v1/PTL"
Matching PUP to URI: "http://opencoredata.org/id/csdco/project/v1/PUP"
Matching PUT to URI: "http://opencoredata.org/id/csdco/project/v1/PUT"
Matching PZA to URI: "http://opencoredata.org/id/csdco/project/v1/PZA"
Matching QHNPN to URI: "http://opencoredata.org/id/csdco/project/v1/QHNPN"
Matching QHSC to URI: "http://opencoredata.org/id/csdco/project/v1/QHSC"
Matching QLE to URI: "http://opencoredata.org/id/csdco/project/v1/QLE"
Matching QLE-GRM06-5A-6B-1.jpg to URI: ""
Matching QLR to URI: "http://opencoredata.org/id/csdco/project/v1/QLR"
Matching QUAKE to URI: "http://opencoredata.org/id/csdco/project/v1/QUAKE"
Matching RAMBLE to URI: "http://opencoredata.org/id/csdco/project/v1/RAMBLE"
Matching RAR to URI: "http://opencoredata.org/id/csdco/project/v1/RAR"
Matching RECYCLER to URI: ""
Matching RED to URI: "http://opencoredata.org/id/csdco/project/v1/RED"
Matching REST to URI: "http://opencoredata.org/id/csdco/project/v1/REST"
Matching RIETI to URI: "http://opencoredata.org/id/csdco/project/v1/RIETI"
Matching RIND to URI: "http://opencoredata.org/id/csdco/project/v1/RIND"
Matching RKE to URI: "http://opencoredata.org/id/csdco/project/v1/RKE"
Matching RN to URI: "http://opencoredata.org/id/csdco/project/v1/RN"
Matching RNQB to URI: "http://opencoredata.org/id/csdco/project/v1/RNQB"
Matching SAC to URI: "http://opencoredata.org/id/csdco/project/v1/SAC"
Matching SAEQ to URI: ""
Matching SAFL to URI: ""
Matching SALT to URI: "http://opencoredata.org/id/csdco/project/v1/SALT"
Matching SAM to URI: "http://opencoredata.org/id/csdco/project/v1/SAM"
Matching SAUK to URI: "http://opencoredata.org/id/csdco/project/v1/SAUK"
Matching SB to URI: "http://opencoredata.org/id/csdco/project/v1/SB"
Matching SBB to URI: ""
Matching SBROWN to URI: "http://opencoredata.org/id/csdco/project/v1/SBROWN"
Matching SCONI to URI: "http://opencoredata.org/id/csdco/project/v1/SCONI"
Matching SCRC(St to URI: ""
Matching SDU to URI: ""
Matching SELBY to URI: "http://opencoredata.org/id/csdco/project/v1/SELBY"
Matching SGLS to URI: ""
Matching SHAKE to URI: "http://opencoredata.org/id/csdco/project/v1/SHAKE"
Matching SHAP to URI: "http://opencoredata.org/id/csdco/project/v1/SHAP"
Matching SHCH to URI: "http://opencoredata.org/id/csdco/project/v1/SHCH"
Matching SHLKS to URI: "http://opencoredata.org/id/csdco/project/v1/SHLKS"
